category,skill_name,slug,skill_page_url,skill_md_url
Product Management,Writing North Star Metrics,writing-north-star-metrics,https://refoundai.com/lenny-skills/s/writing-north-star-metrics,https://refoundai.com/skills/writing-north-star-metrics/SKILL.md
Product Management,Defining Product Vision,defining-product-vision,https://refoundai.com/lenny-skills/s/defining-product-vision,https://refoundai.com/skills/defining-product-vision/SKILL.md
Product Management,Prioritizing Roadmap,prioritizing-roadmap,https://refoundai.com/lenny-skills/s/prioritizing-roadmap,https://refoundai.com/skills/prioritizing-roadmap/SKILL.md
Product Management,Setting OKRs & Goals,setting-okrs-goals,https://refoundai.com/lenny-skills/s/setting-okrs-goals,https://refoundai.com/skills/setting-okrs-goals/SKILL.md
Product Management,Competitive Analysis,competitive-analysis,https://refoundai.com/lenny-skills/s/competitive-analysis,https://refoundai.com/skills/competitive-analysis/SKILL.md
Product Management,Writing PRDs,writing-prds,https://refoundai.com/lenny-skills/s/writing-prds,https://refoundai.com/skills/writing-prds/SKILL.md
Product Management,Problem Definition,problem-definition,https://refoundai.com/lenny-skills/s/problem-definition,https://refoundai.com/skills/problem-definition/SKILL.md
Product Management,Writing Specs & Designs,writing-specs-designs,https://refoundai.com/lenny-skills/s/writing-specs-designs,https://refoundai.com/skills/writing-specs-designs/SKILL.md
Product Management,Scoping & Cutting,scoping-cutting,https://refoundai.com/lenny-skills/s/scoping-cutting,https://refoundai.com/skills/scoping-cutting/SKILL.md
Product Management,Working Backwards,working-backwards,https://refoundai.com/lenny-skills/s/working-backwards,https://refoundai.com/skills/working-backwards/SKILL.md
Product Management,Conducting User Interviews,conducting-user-interviews,https://refoundai.com/lenny-skills/s/conducting-user-interviews,https://refoundai.com/skills/conducting-user-interviews/SKILL.md
Product Management,Designing Surveys,designing-surveys,https://refoundai.com/lenny-skills/s/designing-surveys,https://refoundai.com/skills/designing-surveys/SKILL.md
Product Management,Analyzing User Feedback,analyzing-user-feedback,https://refoundai.com/lenny-skills/s/analyzing-user-feedback,https://refoundai.com/skills/analyzing-user-feedback/SKILL.md
Product Management,Usability Testing,usability-testing,https://refoundai.com/lenny-skills/s/usability-testing,https://refoundai.com/skills/usability-testing/SKILL.md
Product Management,Shipping Products,shipping-products,https://refoundai.com/lenny-skills/s/shipping-products,https://refoundai.com/skills/shipping-products/SKILL.md
Product Management,Managing Timelines,managing-timelines,https://refoundai.com/lenny-skills/s/managing-timelines,https://refoundai.com/skills/managing-timelines/SKILL.md
Product Management,Developing Product Taste,product-taste-intuition,https://refoundai.com/lenny-skills/s/product-taste-intuition,https://refoundai.com/skills/product-taste-intuition/SKILL.md
Product Management,Product Operations,product-operations,https://refoundai.com/lenny-skills/s/product-operations,https://refoundai.com/skills/product-operations/SKILL.md
Product Management,Behavioral Product Design,behavioral-product-design,https://refoundai.com/lenny-skills/s/behavioral-product-design,https://refoundai.com/skills/behavioral-product-design/SKILL.md
Product Management,Startup Ideation,startup-ideation,https://refoundai.com/lenny-skills/s/startup-ideation,https://refoundai.com/skills/startup-ideation/SKILL.md
Product Management,Dogfooding,dogfooding,https://refoundai.com/lenny-skills/s/dogfooding,https://refoundai.com/skills/dogfooding/SKILL.md
Product Management,Startup Pivoting,startup-pivoting,https://refoundai.com/lenny-skills/s/startup-pivoting,https://refoundai.com/skills/startup-pivoting/SKILL.md
Hiring & Teams,Writing Job Descriptions,writing-job-descriptions,https://refoundai.com/lenny-skills/s/writing-job-descriptions,https://refoundai.com/skills/writing-job-descriptions/SKILL.md
Hiring & Teams,Conducting Interviews,conducting-interviews,https://refoundai.com/lenny-skills/s/conducting-interviews,https://refoundai.com/skills/conducting-interviews/SKILL.md
Hiring & Teams,Evaluating Candidates,evaluating-candidates,https://refoundai.com/lenny-skills/s/evaluating-candidates,https://refoundai.com/skills/evaluating-candidates/SKILL.md
Hiring & Teams,Onboarding New Hires,onboarding-new-hires,https://refoundai.com/lenny-skills/s/onboarding-new-hires,https://refoundai.com/skills/onboarding-new-hires/SKILL.md
Hiring & Teams,Building Team Culture,building-team-culture,https://refoundai.com/lenny-skills/s/building-team-culture,https://refoundai.com/skills/building-team-culture/SKILL.md
Hiring & Teams,Designing Team Rituals,team-rituals,https://refoundai.com/lenny-skills/s/team-rituals,https://refoundai.com/skills/team-rituals/SKILL.md
Leadership,Running Effective 1:1s,running-effective-1-1s,https://refoundai.com/lenny-skills/s/running-effective-1-1s,https://refoundai.com/skills/running-effective-1-1s/SKILL.md
Leadership,Having Difficult Conversations,having-difficult-conversations,https://refoundai.com/lenny-skills/s/having-difficult-conversations,https://refoundai.com/skills/having-difficult-conversations/SKILL.md
Leadership,Delegating Work,delegating-work,https://refoundai.com/lenny-skills/s/delegating-work,https://refoundai.com/skills/delegating-work/SKILL.md
Leadership,Managing Up,managing-up,https://refoundai.com/lenny-skills/s/managing-up,https://refoundai.com/skills/managing-up/SKILL.md
Leadership,Running Decision Processes,running-decision-processes,https://refoundai.com/lenny-skills/s/running-decision-processes,https://refoundai.com/skills/running-decision-processes/SKILL.md
Leadership,Planning Under Uncertainty,planning-under-uncertainty,https://refoundai.com/lenny-skills/s/planning-under-uncertainty,https://refoundai.com/skills/planning-under-uncertainty/SKILL.md
Leadership,Evaluating Trade-offs,evaluating-trade-offs,https://refoundai.com/lenny-skills/s/evaluating-trade-offs,https://refoundai.com/skills/evaluating-trade-offs/SKILL.md
Leadership,Post-mortems & Retrospectives,post-mortems-retrospectives,https://refoundai.com/lenny-skills/s/post-mortems-retrospectives,https://refoundai.com/skills/post-mortems-retrospectives/SKILL.md
Leadership,Cross-functional Collaboration,cross-functional-collaboration,https://refoundai.com/lenny-skills/s/cross-functional-collaboration,https://refoundai.com/skills/cross-functional-collaboration/SKILL.md
Leadership,Systems Thinking,systems-thinking,https://refoundai.com/lenny-skills/s/systems-thinking,https://refoundai.com/skills/systems-thinking/SKILL.md
Leadership,Energy Management,energy-management,https://refoundai.com/lenny-skills/s/energy-management,https://refoundai.com/skills/energy-management/SKILL.md
Leadership,Coaching Product Managers,coaching-pms,https://refoundai.com/lenny-skills/s/coaching-pms,https://refoundai.com/skills/coaching-pms/SKILL.md
Leadership,Organizational Design,organizational-design,https://refoundai.com/lenny-skills/s/organizational-design,https://refoundai.com/skills/organizational-design/SKILL.md
Leadership,Organizational Transformation,organizational-transformation,https://refoundai.com/lenny-skills/s/organizational-transformation,https://refoundai.com/skills/organizational-transformation/SKILL.md
AI & Technology,AI Product Strategy,ai-product-strategy,https://refoundai.com/lenny-skills/s/ai-product-strategy,https://refoundai.com/skills/ai-product-strategy/SKILL.md
AI & Technology,Building with LLMs,building-with-llms,https://refoundai.com/lenny-skills/s/building-with-llms,https://refoundai.com/skills/building-with-llms/SKILL.md
AI & Technology,Evaluating New Technology,evaluating-new-technology,https://refoundai.com/lenny-skills/s/evaluating-new-technology,https://refoundai.com/skills/evaluating-new-technology/SKILL.md
AI & Technology,Platform Strategy,platform-strategy,https://refoundai.com/lenny-skills/s/platform-strategy,https://refoundai.com/skills/platform-strategy/SKILL.md
AI & Technology,Vibe Coding,vibe-coding,https://refoundai.com/lenny-skills/s/vibe-coding,https://refoundai.com/skills/vibe-coding/SKILL.md
AI & Technology,AI Evaluation (Evals),ai-evals,https://refoundai.com/lenny-skills/s/ai-evals,https://refoundai.com/skills/ai-evals/SKILL.md
Communication,Giving Presentations,giving-presentations,https://refoundai.com/lenny-skills/s/giving-presentations,https://refoundai.com/skills/giving-presentations/SKILL.md
Communication,Written Communication,written-communication,https://refoundai.com/lenny-skills/s/written-communication,https://refoundai.com/skills/written-communication/SKILL.md
Communication,Stakeholder Alignment,stakeholder-alignment,https://refoundai.com/lenny-skills/s/stakeholder-alignment,https://refoundai.com/skills/stakeholder-alignment/SKILL.md
Communication,Running Offsites,running-offsites,https://refoundai.com/lenny-skills/s/running-offsites,https://refoundai.com/skills/running-offsites/SKILL.md
Communication,Running Effective Meetings,running-effective-meetings,https://refoundai.com/lenny-skills/s/running-effective-meetings,https://refoundai.com/skills/running-effective-meetings/SKILL.md
Growth,Measuring Product-Market Fit,measuring-product-market-fit,https://refoundai.com/lenny-skills/s/measuring-product-market-fit,https://refoundai.com/skills/measuring-product-market-fit/SKILL.md
Growth,Designing Growth Loops,designing-growth-loops,https://refoundai.com/lenny-skills/s/designing-growth-loops,https://refoundai.com/skills/designing-growth-loops/SKILL.md
Growth,Pricing Strategy,pricing-strategy,https://refoundai.com/lenny-skills/s/pricing-strategy,https://refoundai.com/skills/pricing-strategy/SKILL.md
Growth,Retention & Engagement,retention-engagement,https://refoundai.com/lenny-skills/s/retention-engagement,https://refoundai.com/skills/retention-engagement/SKILL.md
Growth,Marketplace Liquidity Management,marketplace-liquidity,https://refoundai.com/lenny-skills/s/marketplace-liquidity,https://refoundai.com/skills/marketplace-liquidity/SKILL.md
Growth,User Onboarding,user-onboarding,https://refoundai.com/lenny-skills/s/user-onboarding,https://refoundai.com/skills/user-onboarding/SKILL.md
Marketing,Positioning & Messaging,positioning-messaging,https://refoundai.com/lenny-skills/s/positioning-messaging,https://refoundai.com/skills/positioning-messaging/SKILL.md
Marketing,Brand Storytelling,brand-storytelling,https://refoundai.com/lenny-skills/s/brand-storytelling,https://refoundai.com/skills/brand-storytelling/SKILL.md
Marketing,Launch Marketing,launch-marketing,https://refoundai.com/lenny-skills/s/launch-marketing,https://refoundai.com/skills/launch-marketing/SKILL.md
Marketing,Content Marketing,content-marketing,https://refoundai.com/lenny-skills/s/content-marketing,https://refoundai.com/skills/content-marketing/SKILL.md
Marketing,Community Building,community-building,https://refoundai.com/lenny-skills/s/community-building,https://refoundai.com/skills/community-building/SKILL.md
Marketing,Media Relations,media-relations,https://refoundai.com/lenny-skills/s/media-relations,https://refoundai.com/skills/media-relations/SKILL.md
Career,Building a Promotion Case,building-a-promotion-case,https://refoundai.com/lenny-skills/s/building-a-promotion-case,https://refoundai.com/skills/building-a-promotion-case/SKILL.md
Career,Negotiating Offers,negotiating-offers,https://refoundai.com/lenny-skills/s/negotiating-offers,https://refoundai.com/skills/negotiating-offers/SKILL.md
Career,Finding Mentors & Sponsors,finding-mentors-sponsors,https://refoundai.com/lenny-skills/s/finding-mentors-sponsors,https://refoundai.com/skills/finding-mentors-sponsors/SKILL.md
Career,Career Transitions,career-transitions,https://refoundai.com/lenny-skills/s/career-transitions,https://refoundai.com/skills/career-transitions/SKILL.md
Career,Managing Imposter Syndrome,managing-imposter-syndrome,https://refoundai.com/lenny-skills/s/managing-imposter-syndrome,https://refoundai.com/skills/managing-imposter-syndrome/SKILL.md
Career,Personal Productivity,personal-productivity,https://refoundai.com/lenny-skills/s/personal-productivity,https://refoundai.com/skills/personal-productivity/SKILL.md
Career,Fundraising Strategy,fundraising,https://refoundai.com/lenny-skills/s/fundraising,https://refoundai.com/skills/fundraising/SKILL.md
Sales & GTM,Founder Sales,founder-sales,https://refoundai.com/lenny-skills/s/founder-sales,https://refoundai.com/skills/founder-sales/SKILL.md
Sales & GTM,Building Sales Team,building-sales-team,https://refoundai.com/lenny-skills/s/building-sales-team,https://refoundai.com/skills/building-sales-team/SKILL.md
Sales & GTM,Enterprise Sales,enterprise-sales,https://refoundai.com/lenny-skills/s/enterprise-sales,https://refoundai.com/skills/enterprise-sales/SKILL.md
Sales & GTM,Partnership & BD,partnership-bd,https://refoundai.com/lenny-skills/s/partnership-bd,https://refoundai.com/skills/partnership-bd/SKILL.md
Sales & GTM,Product-Led Sales Strategy,product-led-sales,https://refoundai.com/lenny-skills/s/product-led-sales,https://refoundai.com/skills/product-led-sales/SKILL.md
Sales & GTM,Sales Compensation Design,sales-compensation,https://refoundai.com/lenny-skills/s/sales-compensation,https://refoundai.com/skills/sales-compensation/SKILL.md
Sales & GTM,Sales Qualification,sales-qualification,https://refoundai.com/lenny-skills/s/sales-qualification,https://refoundai.com/skills/sales-qualification/SKILL.md
Engineering,Technical Roadmaps,technical-roadmaps,https://refoundai.com/lenny-skills/s/technical-roadmaps,https://refoundai.com/skills/technical-roadmaps/SKILL.md
Engineering,Managing Tech Debt,managing-tech-debt,https://refoundai.com/lenny-skills/s/managing-tech-debt,https://refoundai.com/skills/managing-tech-debt/SKILL.md
Engineering,Platform & Infrastructure,platform-infrastructure,https://refoundai.com/lenny-skills/s/platform-infrastructure,https://refoundai.com/skills/platform-infrastructure/SKILL.md
Engineering,Engineering Culture,engineering-culture,https://refoundai.com/lenny-skills/s/engineering-culture,https://refoundai.com/skills/engineering-culture/SKILL.md
Engineering,Design Engineering,design-engineering,https://refoundai.com/lenny-skills/s/design-engineering,https://refoundai.com/skills/design-engineering/SKILL.md
Design,Design Systems,design-systems,https://refoundai.com/lenny-skills/s/design-systems,https://refoundai.com/skills/design-systems/SKILL.md
Design,Running Design Reviews,running-design-reviews,https://refoundai.com/lenny-skills/s/running-design-reviews,https://refoundai.com/skills/running-design-reviews/SKILL.md
